"name","r"
8523,0
8532,0
8541,0
8542,0
8545,0
8548,0
8549,0
8554,0
8556,0
8560,0
8561,0
8564,0
8567,0
8574,0
8579,0
8583,0
8588,0
8590,0
8591,0
8595,0
8598,0
8604,0
8608,0
8609,0
8610,0
8612,0
8613,0
8616,0
8618,0
8624,0
8637,0
8638,0
8644,0
8647,0
8650,0
8655,0
8656,0
8658,0
8659,0
8665,0
8668,0
8670,0
8671,0
8672,0
8673,0
8674,0
8685,0
8686,0
8693,0
8699,0
8704,0
8706,0
8708,0
8709,0
8713,0
8715,0
8717,0
8720,0
8724,0
8725,0
8727,0
8728,0
8730,0
8734,0
8740,0
8742,0
8748,0
8750,0
8753,0
8759,0
8765,0
8768,0
8770,0
8774,0
8778,0
8779,0
8784,0
8785,0
8792,0
8795,0
8797,0
8798,0
8801,0
8807,0
8809,0
8810,10.99
8813,0
8816,0
8820,0
8823,0
8825,0
8827,0
8829,0
8838,0
8848,0
8852,0
8860,0
8865,13.17
8873,0
8876,0
8882,0
8883,0
8884,0
8889,0
8891,0
8894,0
8899,16.2
8902,0
8907,0
8908,0
8909,0
8910,0
8920,0
8921,0
8925,0
8926,0
8927,0
8938,0
8942,0
8947,0
8954,0
8958,0
8959,0
8960,0
8964,0
8973,0
8982,0
8984,0
8986,0
8993,0
8994,12.23
8995,0
9018,0
9019,0
9026,0
9027,0
9028,0
9033,0
9034,0
9047,0
9048,0
9050,0
9052,0
9057,0
9058,0
9060,0
9061,0
9065,0
9067,0
9071,0
9072,0
9079,0
9082,0
9086,0
9087,0
9090,0
9092,0
9093,0
9096,0
9100,0
9108,0
9110,0
9119,0
9125,0
9129,0
9130,0
9132,0
9137,0
9138,0
9141,0
9142,0
9144,0
9145,0
9146,0
9148,0
9152,0
9153,0
9154,0
9159,0
9162,0
9168,0
9169,0
9170,0
9171,0
9172,0
9173,0
9174,0
9179,0
9181,0
9186,0
9189,0
9194,0
9199,0
9203,0
9205,0
9207,0
9208,0
9210,0
9220,0
9221,0
9222,36.13
9232,0
9233,0
9235,0
9240,0
9244,0
9248,0
9252,0
9254,0
9257,0
9259,10.01
9260,13.44
9264,0
9265,0
9267,0
9270,0
9273,0
9276,0
9299,0
9307,0
9308,0
9309,0
9311,0
9318,0
9320,0
9321,0
9326,0
9328,0
9329,0
9342,0
9343,0
9344,0
9345,0
9347,0
9349,0
9350,0
9352,0
9357,0
9359,0
9361,0
9363,0
9364,0
9367,0
9374,0
9376,0
9377,0
9379,0
9384,0
9390,0
9393,0
9394,0
9395,0
9400,0
9401,0
9407,0
9408,0
9409,0
9410,0
9411,0
9413,0
9414,0
9416,0
9418,0
9419,0
9421,0
9422,0
9426,0
9430,0
9431,0
9432,0
9433,0
9440,0
9442,0
9443,0
9444,0
9445,0
9448,0
9453,0
9454,0
9456,0
9461,0
9463,0
9464,0
9465,0
9468,0
9469,0
9471,0
9472,0
9474,0
9475,0
9476,0
9477,0
9478,0
9479,0
9480,0
9481,0
9483,0
9484,0
9485,0
9486,0
9488,0
9491,0
9494,0
9499,0
9503,0
9505,0
9506,0
9507,0
9508,0
9509,0
9510,0
9511,0
9512,0
9513,0
9514,0
9515,0
9516,0
9517,0
9518,0
9520,0
9521,0
9522,0
9523,0
9524,0
9525,0
9526,0
9527,0
9528,0
9529,0
9530,0
9534,0
9538,0
9539,0
9540,0
9542,0
9543,0
9546,0
9547,0
9548,0
9549,0
9556,0
9558,0
9559,0
9560,31.9
9562,0
9563,0
9564,0
9565,0
9566,0
9567,0
9568,0
9569,0
9570,0
9572,0
9573,0
9574,0
9576,0
9577,0
9578,0
9579,0
9580,0
9582,0
9584,0
9586,0
9589,0
9593,0
9594,0
9595,0
9596,0
9597,0
9600,0
9602,0
9603,0
9604,0
9605,0
9606,0
9607,0
9608,0
9610,0
9617,0
9618,0
9620,0
9621,0
9622,0
9624,0
9629,0
9630,0
9631,0
9632,0
9633,0
9634,0
9635,0
9636,0
9639,0
9641,0
9644,0
9645,0
9646,0
9647,0
9648,0
9649,0
9651,0
9652,0
9657,0
9661,0
9662,0
9666,0
9669,12.56
9673,0
9674,0
9683,0
9685,0
9694,0
9699,0
9719,0
9745,0
9756,0
9777,0
9778,0
9783,0
9784,0
9786,0
9787,0
9792,0
9795,0
9797,0
9798,0
9799,0
9802,0
9803,0
9804,0
9807,0
9808,0
9809,0
9811,0
9813,0
9815,0
9816,0
9818,0
9822,0
9823,0
9824,0
9825,0
9826,0
9827,0
9830,0
9833,0
9834,0
9835,0
9837,0
9839,0
9840,0
9841,0
9843,0
9845,0
9849,0
9851,0
9855,0
9859,0
9861,0
9862,0
9866,0
9867,0
9868,0
9872,0
9875,0
9876,0
9878,0
9879,0
9880,0
9881,0
9886,0
9889,0
9890,0
9892,0
9896,0
9897,0
9901,0
9907,0
9908,0
9910,0
9911,0
9912,0
9917,0
9920,0
9924,0
9927,0
9934,0
9943,0
